-24.974000	0.201000	inf	0.000000
-24.974000	0.203000	inf	0.000000
-24.974000	0.205000	inf	0.000000
-24.974000	0.207000	inf	0.000000
-24.974000	0.209000	inf	0.000000
-24.974000	0.211000	inf	0.000000
-24.974000	0.213000	inf	0.000000
-24.974000	0.215000	inf	0.000000
-24.974000	0.217000	inf	0.000000
-24.974000	0.219000	inf	0.000000
-24.974000	0.221000	inf	0.000000
-24.974000	0.223000	inf	0.000000
-24.974000	0.225000	inf	0.000000
-24.974000	0.227000	inf	0.000000
-24.974000	0.229000	inf	0.000000
-24.974000	0.231000	inf	0.000000
-24.974000	0.233000	inf	0.000000
-24.974000	0.235000	inf	0.000000
-24.974000	0.237000	inf	0.000000
-24.974000	0.239000	inf	0.000000
-24.974000	0.241000	inf	0.000000
-24.974000	0.243000	inf	0.000000
-24.974000	0.245000	inf	0.000000
-24.974000	0.247000	inf	0.000000
-24.974000	0.249000	inf	0.000000
-24.974000	0.251000	inf	0.000000
-24.974000	0.253000	inf	0.000000
-24.974000	0.255000	inf	0.000000
-24.974000	0.257000	inf	0.000000
-24.974000	0.259000	7.403774	0.000000
-24.974000	0.261000	7.154188	0.000000
-24.974000	0.263000	7.298191	0.000000
-24.974000	0.265000	6.537419	0.000000
-24.974000	0.267000	6.479432	0.000000
-24.974000	0.269000	6.244760	0.000000
-24.974000	0.271000	5.824102	0.000000
-24.974000	0.273000	5.454904	0.000000
-24.974000	0.275000	5.263360	0.000000
-24.974000	0.277000	4.880086	0.000000
-24.974000	0.279000	4.723357	0.000000
-24.974000	0.281000	4.533570	0.000000
-24.974000	0.283000	4.330568	0.000001
-24.974000	0.285000	4.251334	0.000001
-24.974000	0.287000	4.115878	0.000001
-24.974000	0.289000	4.005522	0.000001
-24.974000	0.291000	3.910282	0.000001
-24.974000	0.293000	3.844632	0.000001
-24.974000	0.295000	3.727602	0.000002
-24.974000	0.297000	3.648882	0.000002
-24.974000	0.299000	3.524665	0.000002
-24.974000	0.301000	3.388053	0.000003
-24.974000	0.303000	3.305593	0.000003
-24.974000	0.305000	3.079412	0.000005
-24.974000	0.307000	2.930416	0.000006
-24.974000	0.309000	2.797780	0.000008
-24.974000	0.311000	2.634064	0.000010
-24.974000	0.313000	2.579343	0.000011
-24.974000	0.315000	2.516066	0.000012
-24.974000	0.317000	2.397079	0.000015
-24.974000	0.319000	2.387529	0.000015
-24.974000	0.321000	2.308189	0.000018
